ID_new,ID_Old,species,Longitude,Latitude,source
455,4629,anisolepis,-93.899,16.234,Velasco etal16
456,4630,anisolepis,-91.65,16.26,Velasco etal16
457,4631,anisolepis,-92.676,16.599,Velasco etal16
458,4632,anisolepis,-92.52,16.62,Velasco etal16
459,4633,anisolepis,-92.53,16.63,Velasco etal16
460,4634,anisolepis,-92.539,16.632,Velasco etal16
461,4635,anisolepis,-92.548,16.639,Velasco etal16
462,4636,anisolepis,-92.54,16.64,Velasco etal16
463,4637,anisolepis,-92.544,16.647,Velasco etal16
464,4638,anisolepis,-92.572,16.669,Velasco etal16
465,4639,anisolepis,-92.57,16.67,Velasco etal16
466,4640,anisolepis,-92.56,16.671,Velasco etal16
467,4641,anisolepis,-92.585,16.676,Velasco etal16
468,4642,anisolepis,-92.58,16.68,Velasco etal16
469,4643,anisolepis,-92.58,16.68,Velasco etal16
470,4644,anisolepis,-92.586,16.683,Velasco etal16
471,4645,anisolepis,-92.583,16.683,Velasco etal16
472,4646,anisolepis,-92.581,16.688,Velasco etal16
473,4647,anisolepis,-92.6,16.69,Velasco etal16
474,4648,anisolepis,-92.59,16.69,Velasco etal16
475,4649,anisolepis,-92.603,16.697,Velasco etal16
476,4650,anisolepis,-92.457,16.71,Velasco etal16
477,4651,anisolepis,-92.701,16.72,Velasco etal16
478,4652,anisolepis,-92.719,16.729,Velasco etal16
479,4653,anisolepis,-92.54,16.73,Velasco etal16
480,4654,anisolepis,-92.778,16.731,Velasco etal16
481,4655,anisolepis,-92.61,16.733,Velasco etal16
482,4656,anisolepis,-92.636,16.736,Velasco etal16
483,4657,anisolepis,-92.638,16.737,Velasco etal16
484,4658,anisolepis,-92.752,16.738,Velasco etal16
485,4659,anisolepis,-92.686,16.751,Velasco etal16
486,4660,anisolepis,-92.677,16.76,Velasco etal16
487,4661,anisolepis,-92.56,16.76,Velasco etal16
488,4662,anisolepis,-92.553,16.782,Velasco etal16
489,4663,anisolepis,-91.116,16.814,Velasco etal16
490,4664,anisolepis,-92.368,16.942,Velasco etal16
491,4665,anisolepis,-92.819,17,Velasco etal16
492,4666,anisolepis,-92.817,17,Velasco etal16
493,4667,anisolepis,-92.98,17.21,Velasco etal16
494,4668,annectens,-70.39,8.58,Velasco etal16
495,4669,annectens,-70.59,9.56,Velasco etal16
496,4670,annectens,-71.02,10.18,Velasco etal16
497,4671,annectens,-71.03,10.43,Velasco etal16
498,4672,annectens,-69.43,10.43,Velasco etal16
499,4673,annectens,-71.18,10.49,Velasco etal16
500,4674,annectens,-70.91,10.6,Velasco etal16
501,4675,annectens,-69.79,10.77,Velasco etal16
502,3479,anoriensis,-75.06,6.813,Velasco etal16
503,3480,anoriensis,-75.108,6.873,Velasco etal16
504,3481,anoriensis,-75.099,6.874,Velasco etal16
